A,FL,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,SI3,I1,I2,I3
D,210,194,147,124,108,87,68,55,49,41,25,16
E,160,144,127,112,99,80,63,51,46,38,24,15
F,140,126,114,103,92,75,59,48,43,36,23,14
G,110,99,93,86,82,70,55,45,40,34,22,13
H,100,80,76,73,70,64,50,42,37,32,21,13
I,90,68,64,61,58,52,45,38,35,30,20,12
J,70,57,53,49,46,43,38,34,32,28,19,12
K,62,48,45,42,39,37,30,26,24,23,17,10
L,56,40,37,35,33,31,28,24,23,21,16,10
M,48,34,32,31,30,28,25,23,21,20,16,10
