A,FL,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,SI3,I1,I2,I3
D,67,65,53,43,36,32,27,22,19,17,14,11
E,56,52,48,39,33,30,25,21,18,16,13,10
F,50,46,43,36,30,28,24,20,17,15,12,9
G,42,38,35,31,28,26,23,19,16,14,11,9
H,36,32,30,28,26,24,21,18,15,13,11,8
I,30,27,25,24,23,21,19,16,14,13,10,8
J,27,23,21,20,19,18,16,15,13,12,10,7
K,24,20,18,17,16,15,14,13,12,11,9,6
L,21,18,17,16,15,14,13,12,11,10,8,6
M,20,17,16,15,14,13,12,11,10,9,7,5
