A,FL,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,SI3,I1,I2,I3
D,37,35,30,27,24,21,19,17,15,13,11,7
E,33,31,28,25,22,20,18,16,14,12,10,6
F,30,28,25,23,21,19,17,15,13,11,10,6
G,26,24,22,21,20,18,16,14,12,10,9,5
H,24,22,21,20,19,17,15,13,11,10,8,5
I,22,19,18,17,16,15,13,11,10,9,7,5
J,19,17,16,15,14,13,12,10,9,7,7,4
K,17,15,14,13,12,11,10,9,8,6,5,4
L,16,14,13,12,11,10,9,8,7,5,5,3
M,14,12,11,10,9,9,8,7,6,5,4,3
