A,FL,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,SI3,I1,I2,I3
D,1200,1130,970,835,745,615,430,315,175,125,60,25
E,1000,905,825,730,650,555,395,295,170,120,57,23
F,800,775,715,630,565,490,360,280,160,115,54,22
G,700,645,595,540,485,420,320,260,150,110,51,21
H,600,505,475,425,385,340,265,225,140,100,48,21
I,400,385,360,330,300,265,225,195,130,95,46,20
J,320,300,275,255,235,215,195,170,120,88,43,19
K,260,235,220,205,190,180,165,150,110,81,41,18
L,210,190,175,165,155,145,135,125,100,69,37,17
M,180,155,145,140,130,120,110,100,80,60,34,16
